Date,Hour,IsDaytime (9-19),Season,WeekDay,CalendarDay,CalendarMonth,CalendarYear,IsWeekend,temperature(C°),Humid temperature (C °),Dew Point Temperature (C °),Relative humidity(%),Wind speed (m / s),Wind direction (degrees),Pressure at station height (hPa),Sea level pressure (hPa),Total amount of clouds,Electricity
01/01/2018,0,0,Winter,2,1,1,2018,0,11.6,8.7,5.4,62,7,190,1010.4,1014.2,5,1.51
01/01/2018,1,0,Winter,2,1,1,2018,0,11.6,8.7,5.4,62,7,190,1010.4,1014.2,5,1.47
01/01/2018,2,0,Winter,2,1,1,2018,0,11.6,8.7,5.4,62,7,190,1010.4,1014.2,5,1.46
01/01/2018,3,0,Winter,2,1,1,2018,0,11.1,9.3,7.4,81,1.5,290,1010.7,1014.5,7,1.46
01/01/2018,4,0,Winter,2,1,1,2018,0,11.1,9.3,7.4,81,1.5,290,1010.7,1014.5,7,1.45
01/01/2018,5,0,Winter,2,1,1,2018,0,11.1,9.3,7.4,81,1.5,290,1010.7,1014.5,7,1.47
01/01/2018,6,0,Winter,2,1,1,2018,0,11.6,9.3,6.7,70,6.5,180,1011.3,1015.1,6,1.45
01/01/2018,7,1,Winter,2,1,1,2018,0,11.6,9.3,6.7,70,6.5,180,1011.3,1015.1,6,1.6
01/01/2018,8,1,Winter,2,1,1,2018,0,11.6,9.3,6.7,70,6.5,180,1011.3,1015.1,6,15.67
01/01/2018,9,1,Winter,2,1,1,2018,0,10.7,10.3,9.9,88,6.5,180,1012.3,1016.1,7,18.84
01/01/2018,10,1,Winter,2,1,1,2018,0,10.7,10.3,9.9,88,6.5,180,1012.3,1016.1,7,19.01
01/01/2018,11,1,Winter,2,1,1,2018,0,10.7,10.3,9.9,88,6.5,180,1012.3,1016.1,7,11.97
01/01/2018,12,1,Winter,2,1,1,2018,0,15.6,14.3,13.3,92,4.5,130,1010.6,1014.4,7,16.06
01/01/2018,13,1,Winter,2,1,1,2018,0,15.6,14.3,13.3,92,4.5,130,1010.6,1014.4,7,17.48
01/01/2018,14,1,Winter,2,1,1,2018,0,15.6,14.3,13.3,92,4.5,130,1010.6,1014.4,7,16.25
01/01/2018,15,1,Winter,2,1,1,2018,0,13.7,13.4,13.1,93,1.5,140,1011.1,1014.9,5,19.35
01/01/2018,16,1,Winter,2,1,1,2018,0,13.7,13.4,13.1,93,1.5,140,1011.1,1014.9,5,12.23
01/01/2018,17,1,Winter,2,1,1,2018,0,13.7,13.4,13.1,93,1.5,140,1011.1,1014.9,5,9.26
01/01/2018,18,1,Winter,2,1,1,2018,0,14.3,13.2,12.3,96,1,130,1012.7,1016.5,4,6.36
01/01/2018,19,1,Winter,2,1,1,2018,0,14.3,13.2,12.3,96,1,130,1012.7,1016.5,4,4.75
01/01/2018,20,0,Winter,2,1,1,2018,0,14.3,13.2,12.3,96,1,130,1012.7,1016.5,4,1.56
01/01/2018,21,0,Winter,2,1,1,2018,0,14.6,14,13.5,96,2.5,340,1013.6,1017.4,8,1.61
01/01/2018,22,0,Winter,2,1,1,2018,0,14.6,14,13.5,96,2.5,340,1013.6,1017.4,8,1.52
01/01/2018,23,0,Winter,2,1,1,2018,0,14.6,14,13.5,96,2.5,340,1013.6,1017.4,8,1.63
02/01/2018,0,0,Winter,3,2,1,2018,0,16.1,13,10.2,66,5.5,270,1013.3,1017,6,1.57
02/01/2018,1,0,Winter,3,2,1,2018,0,16.1,13,10.2,66,5.5,270,1013.3,1017,6,1.61
02/01/2018,2,0,Winter,3,2,1,2018,0,16.1,13,10.2,66,5.5,270,1013.3,1017,6,1.62
02/01/2018,3,0,Winter,3,2,1,2018,0,12.2,11.7,11.3,85,3.5,190,1013.4,1017.2,6,1.58
02/01/2018,4,0,Winter,3,2,1,2018,0,12.2,11.7,11.3,85,3.5,190,1013.4,1017.2,6,1.6
02/01/2018,5,0,Winter,3,2,1,2018,0,12.2,11.7,11.3,85,3.5,190,1013.4,1017.2,6,1.58
02/01/2018,6,0,Winter,3,2,1,2018,0,12,11.7,11.4,91,3,160,1014.5,1018.3,7,1.6
02/01/2018,7,1,Winter,3,2,1,2018,0,12,11.7,11.4,91,3,160,1014.5,1018.3,7,1.55
02/01/2018,8,1,Winter,3,2,1,2018,0,12,11.7,11.4,91,3,160,1014.5,1018.3,7,16.25
02/01/2018,9,1,Winter,3,2,1,2018,0,13.5,12.8,12.2,80,3.5,170,1014.8,1018.5,7,29.94
02/01/2018,10,1,Winter,3,2,1,2018,0,13.5,12.8,12.2,80,3.5,170,1014.8,1018.5,7,25.76
02/01/2018,11,1,Winter,3,2,1,2018,0,13.5,12.8,12.2,80,3.5,170,1014.8,1018.5,7,22.76
02/01/2018,12,1,Winter,3,2,1,2018,0,16.6,15,13.7,79,3,190,1013.4,1017.1,7,13.78
02/01/2018,13,1,Winter,3,2,1,2018,0,16.6,15,13.7,79,3,190,1013.4,1017.1,7,20.7
